"SelfEmployed","NUM_ProvideMHCoverage","NUM_AnonymityProtected","NUM_DiscussMHCompanyNegative","NUM_DiscussPHCompanyNegative","NUM_DiscussMHWithBoss","NUM_ObsNegOpenWithMH","NUM_MedicalCoverage","CAT_PercWorkAffectedByMH","CAT_MHHurtCareer","NUM_CoWorkersViewYouNegKnewMH","CAT_NegResponseWithMH","NUM_MHCurrently","CAT_MHCurrentlyDiagnosed","Age","CAT_Gender","State","CAT_CurrentPosition","WorkRemotely"
0,0,NA,0,0,1,0,NA,NA,2,NA,"No",NA,NA,39,"M","","Developer","Sometimes"
0,0,1,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,29,NA,"Illinois",NA,"Never"
0,0,NA,2,0,2,0,NA,NA,2,2,"Maybe",NA,NA,38,"M","","Developer","Always"
1,NA,NA,NA,NA,NA,NA,1,"Low",NA,2,"No",NA,NA,43,NA,"","Supervisor","Sometimes"
0,1,0,1,2,0,0,NA,NA,NA,2,"Yes",NA,NA,43,"F","Illinois",NA,"Sometimes"
0,1,1,1,1,1,1,NA,NA,NA,2,"Yes",NA,NA,42,"M","",NA,"Sometimes"
0,NA,NA,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,30,"M","Tennessee","Developer","Sometimes"
0,1,1,0,0,1,0,NA,NA,2,2,"Yes",NA,NA,37,NA,"Virginia",NA,"Always"
0,NA,NA,1,1,2,0,NA,NA,2,NA,"Yes",NA,NA,44,"F","California",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,1,"Low",2,NA,"No",NA,NA,30,"M","Kentucky",NA,"Always"
0,1,1,0,0,1,0,NA,NA,NA,2,"Yes",NA,NA,28,"M","Oregon","Developer","Never"
0,1,NA,1,0,0,0,NA,NA,NA,NA,"No",NA,NA,34,"M","Pennsylvania","Exec_Leadership","Sometimes"
0,1,1,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,30,"F","New Jersey",NA,"Always"
0,1,1,0,0,2,0,NA,NA,2,NA,"Yes",2,NA,44,"M","",NA,"Sometimes"
0,1,1,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,35,"M","Georgia","Designer","Always"
0,NA,NA,2,2,2,0,NA,NA,2,2,"No",NA,NA,52,NA,"Oregon","Exec_Leadership","Sometimes"
0,0,NA,2,0,2,0,NA,NA,NA,NA,"Yes",NA,NA,32,"F","","Developer","Always"
0,0,NA,2,0,2,0,NA,NA,2,2,"Maybe",NA,NA,34,"M","","Developer","Never"
1,NA,NA,NA,NA,NA,NA,1,"High",NA,NA,"Yes",NA,NA,25,"F","Washington","OnePerson","Always"
0,NA,NA,1,0,0,0,NA,NA,NA,NA,"No",NA,NA,31,"M","New Jersey",NA,"Sometimes"
0,0,NA,0,0,1,0,NA,NA,NA,NA,"Maybe",NA,NA,26,"M","New York","Developer","Sometimes"
0,1,NA,0,0,1,0,NA,NA,2,2,"No",NA,NA,35,NA,"Indiana","Other","Never"
0,1,NA,2,2,0,0,NA,NA,2,NA,"No",NA,NA,25,NA,"","Developer","Sometimes"
0,1,NA,2,0,2,0,NA,NA,NA,2,"Yes",NA,NA,33,"M","","Developer","Sometimes"
1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,"Unknown",NA,NA,38,"M","New York","Supervisor","Sometimes"
0,1,1,0,0,2,0,NA,NA,2,NA,"Maybe",NA,NA,42,NA,"",NA,"Never"
0,0,NA,1,1,0,0,NA,NA,NA,NA,"Maybe",NA,NA,27,"M","",NA,"Sometimes"
0,NA,NA,0,0,0,0,NA,NA,NA,NA,"Maybe",2,NA,35,NA,"","Developer","Never"
0,NA,NA,2,0,2,1,NA,NA,NA,NA,"Yes",2,NA,34,NA,"","Other","Never"
0,0,1,0,0,1,0,NA,NA,NA,NA,"Yes",NA,NA,32,"B","",NA,"Never"
0,0,NA,2,0,2,0,NA,NA,NA,2,"Maybe",NA,NA,32,"Unknown","","Developer","Never"
0,1,1,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,30,"M","New York",NA,"Sometimes"
0,NA,NA,2,0,2,0,NA,NA,2,2,"No",2,NA,31,"M","Minnesota",NA,"Never"
1,NA,NA,NA,NA,NA,NA,0,"Low",2,2,"No",NA,NA,37,"M","",NA,"Sometimes"
0,1,1,0,0,1,0,NA,NA,NA,NA,"Maybe",NA,NA,36,"M","",NA,"Sometimes"
0,0,NA,2,0,0,1,NA,NA,NA,NA,"No",NA,NA,33,"M","",NA,"Never"
0,1,1,0,0,2,0,NA,NA,2,2,"Yes",NA,NA,44,"M","Washington","Developer","Always"
0,0,NA,0,0,1,0,NA,NA,2,NA,"Yes",2,NA,29,NA,"","Developer","Never"
0,0,NA,0,0,1,0,NA,NA,2,NA,"No",2,NA,29,NA,"","Developer","Sometimes"
0,1,NA,2,0,1,1,NA,NA,2,2,"Yes",NA,NA,44,"M","","Other","Always"
1,NA,NA,NA,NA,NA,NA,1,"Low_to_Medium",NA,NA,"Yes",NA,NA,34,"M","Georgia",NA,"Sometimes"
0,1,1,0,0,1,0,NA,NA,NA,NA,"Maybe",NA,NA,40,NA,"Minnesota","Other","Always"
0,1,1,1,2,1,0,NA,NA,2,2,"Maybe",NA,NA,46,"F","",NA,"Never"
1,NA,NA,NA,NA,NA,NA,1,"Medium",NA,NA,"Yes",NA,NA,28,"M","",NA,"Sometimes"
0,0,0,2,0,0,0,NA,NA,NA,NA,"No",NA,NA,41,"M","Georgia","Developer","Never"
0,1,NA,2,2,2,0,NA,NA,NA,NA,"Yes",NA,NA,33,NA,"Kentucky",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,1,"Low",NA,2,"Yes",NA,NA,32,"M","West Virginia","Other","Sometimes"
0,NA,NA,2,0,2,0,NA,NA,2,2,"No",2,NA,45,"M","Virginia",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,0,"Low_to_Medium",NA,2,"Maybe",2,NA,43,NA,"","Other","Sometimes"
0,1,1,0,0,2,0,NA,NA,2,2,"No",NA,NA,37,"F","California","Supervisor","Always"
0,0,NA,2,2,0,0,NA,NA,NA,2,"Maybe",NA,NA,37,"M","","Exec_Leadership","Never"
0,1,1,2,2,1,0,NA,NA,2,2,"Maybe",NA,NA,27,"M","California",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,"Unknown",NA,NA,31,"M","",NA,"Sometimes"
0,1,NA,2,2,1,0,NA,NA,2,NA,"Yes",NA,NA,36,"M","California",NA,"Sometimes"
0,1,NA,2,0,2,0,NA,NA,NA,2,"No",2,NA,34,"M","Florida",NA,"Always"
0,1,NA,2,2,1,0,NA,NA,2,NA,"No",NA,NA,31,"F","Massachusetts","Other","Sometimes"
0,1,NA,0,0,1,0,NA,NA,2,NA,"No",2,NA,30,"M","Oregon",NA,"Never"
0,1,1,2,0,1,0,NA,NA,NA,2,"Maybe",2,NA,32,"M","","Supervisor","Never"
0,1,NA,0,0,2,0,NA,NA,NA,2,"No",2,NA,40,NA,"North Dakota",NA,"Sometimes"
0,NA,NA,2,0,0,0,NA,NA,2,NA,"No",NA,NA,40,"M","Tennessee","Developer","Sometimes"
0,1,NA,0,0,1,0,NA,NA,NA,NA,"Maybe",2,NA,41,"M","","Developer","Sometimes"
0,0,NA,1,0,2,0,NA,NA,NA,NA,"Maybe",2,NA,27,"M","","DevOps","Never"
0,1,NA,0,0,1,0,NA,NA,2,NA,"Yes",NA,NA,30,"M","New York","Supervisor","Sometimes"
1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Yes",2,NA,29,"M","",NA,"Always"
1,NA,NA,NA,NA,NA,NA,0,NA,2,2,"No",NA,NA,38,"M","","Other","Sometimes"
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Unknown",NA,NA,35,NA,"",NA,"Sometimes"
0,0,NA,2,0,2,1,NA,NA,NA,NA,"Yes",NA,NA,35,NA,"Indiana","Supervisor","Never"
0,1,NA,2,2,0,0,NA,NA,NA,NA,"Yes",NA,NA,29,"M","Texas","Developer","Always"
0,1,1,2,2,2,0,NA,NA,NA,2,"No",NA,NA,28,"M","New York","Developer","Never"
0,0,1,0,0,1,0,NA,NA,2,NA,"No",2,NA,27,"M","","Developer","Sometimes"
1,NA,NA,NA,NA,NA,NA,0,NA,2,NA,"Maybe",NA,NA,39,"M","","Developer","Sometimes"
0,1,NA,0,0,2,0,NA,NA,2,2,"No",NA,NA,28,NA,"","Support","Sometimes"
0,NA,NA,1,2,0,0,NA,NA,NA,NA,"No",NA,NA,46,"M","Texas",NA,"Sometimes"
0,0,NA,0,0,1,0,NA,NA,2,NA,"No",NA,NA,40,NA,"",NA,"Sometimes"
0,1,1,0,0,1,0,NA,NA,2,NA,"No",2,NA,37,"M","Tennessee",NA,"Always"
0,0,NA,0,0,1,0,NA,NA,2,NA,"No",NA,NA,41,"M","",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"Maybe",NA,NA,19,"M","","Developer","Never"
0,NA,0,0,0,2,0,NA,NA,2,NA,"No",NA,NA,38,"F","","Developer","Never"
0,NA,NA,2,0,0,0,NA,NA,2,2,"No",NA,NA,33,"M","Maryland","Developer","Sometimes"
0,1,1,0,0,1,0,NA,NA,2,NA,"No",NA,NA,33,"M","Wisconsin",NA,"Always"
0,1,1,0,0,1,0,NA,NA,2,2,"No",NA,NA,21,NA,"",NA,"Never"
0,0,NA,2,2,0,1,NA,NA,2,2,"Yes",NA,NA,36,"M","","Developer","Never"
1,NA,NA,NA,NA,NA,NA,0,"Low",2,2,"Yes",NA,NA,39,"M","","Developer","Sometimes"
0,NA,1,0,0,1,0,NA,NA,NA,NA,"No",NA,NA,35,"M","Illinois",NA,"Sometimes"
1,NA,NA,NA,NA,NA,NA,1,NA,2,2,"Maybe",NA,NA,36,NA,"",NA,"Sometimes"
0,1,NA,2,0,2,0,NA,NA,2,2,"Yes",2,NA,45,"M","Michigan",NA,"Never"
0,NA,NA,2,0,2,0,NA,NA,NA,2,"No",2,NA,41,"M","",NA,"Never"
0,NA,NA,2,0,0,0,NA,NA,NA,NA,"Yes",NA,NA,35,"M","","Developer","Sometimes"
