"State","CountOfYesCoverage","TotalYesCoverage","CountOfNoCoverage","TotalNoCoverage","StateSize_mi2","StateRegion","YesCoverage_Density","NoCoverage_Density"
"California",79,428,11,86,"158693","West",0.497816538851745,0.069316226928724
"Michigan",33,428,2,86,"58216","North Central",0.566854472997114,0.0343548165452796
"Illinois",26,428,8,86,"56400","North Central",0.460992907801418,0.141843971631206
"Minnesota",22,428,4,86,"84068","North Central",0.261692915259076,0.0475805300471047
"Washington",22,428,3,86,"68192","West",0.322618488972313,0.0439934303144064
"New York",21,428,4,86,"49576","Northeast",0.42359206067452,0.0806842020332419
"Pennsylvania",21,428,2,86,"45333","Northeast",0.463238700284561,0.0441179714556725
"Texas",21,428,4,86,"267339","South",0.078551950893809,0.0149622763607255
"Tennessee",16,428,3,86,"42244","South",0.378752012120064,0.0710160022725121
"Oregon",15,428,2,86,"96981","West",0.154669471339747,0.0206225961786329
"Ohio",14,428,4,86,"41222","North Central",0.339624472369123,0.0970355635340352
"Indiana",12,428,2,86,"36291","North Central",0.330660494337439,0.0551100823895732
"North Carolina",12,428,1,86,"52586","South",0.228197619138174,0.0190164682615145
"Massachusetts",11,428,2,86,"8257","Northeast",1.3322029792903,0.242218723507327
"Florida",10,428,2,86,"58560","South",0.170765027322404,0.0341530054644809
"Maryland",9,428,2,86,"10577","South",0.850902902524345,0.189089533894299
"Missouri",9,428,NA,NA,"69686","North Central",0.129150761989496,NA
"Colorado",7,428,6,86,"104247","West",0.0671482152963634,0.0575556131111687
"Kansas",6,428,2,86,"82264","North Central",0.0729359136438782,0.0243119712146261
"Nebraska",6,428,1,86,"77227","North Central",0.0776930348194284,0.0129488391365714
"Virginia",6,428,2,86,"40815","South",0.147004777655274,0.0490015925517579
"Wisconsin",6,428,1,86,"56154","North Central",0.106849022331446,0.0178081703885743
"Georgia",5,428,4,86,"58876","South",0.0849242475711665,0.0679393980569332
"Oklahoma",4,428,2,86,"69919","South",0.0572090561935954,0.0286045280967977
"Alabama",3,428,NA,NA,"51609","South",0.0581293960355752,NA
"Iowa",3,428,NA,NA,"56290","North Central",0.05329543435779,NA
"Maine",3,428,1,86,"33215","Northeast",0.0903206382658437,0.0301068794219479
"New Hampshire",3,428,1,86,"9304","Northeast",0.32244196044712,0.107480653482373
"Utah",3,428,1,86,"84916","West",0.0353290310424419,0.011776343680814
"Alaska",2,428,NA,NA,"589757","West",0.00339122723426767,NA
"Arizona",2,428,2,86,"113909","West",0.0175578751459498,0.0175578751459498
"Kentucky",2,428,NA,NA,"40395","South",0.0495110781037257,NA
"Rhode Island",2,428,NA,NA,"1214","Northeast",1.64744645799012,NA
"South Dakota",2,428,NA,NA,"77047","North Central",0.0259581813698132,NA
"Connecticut",1,428,NA,NA,"5009","Northeast",0.199640646835696,NA
"Delaware",1,428,NA,NA,"2057","South",0.486144871171609,NA
"District of Columbia",1,428,NA,NA,"68.34","South",14.6327187591454,NA
"Idaho",1,428,2,86,"83557","West",0.0119678782148713,0.0239357564297426
"Montana",1,428,NA,NA,"147138","West",0.00679634085008631,NA
"New Jersey",1,428,2,86,"7836","Northeast",0.127616130678918,0.255232261357836
"New Mexico",1,428,NA,NA,"121666","West",0.00821922311903079,NA
"North Dakota",1,428,NA,NA,"70665","North Central",0.014151277152763,NA
"Vermont",1,428,1,86,"9609","Northeast",0.104069101883651,0.104069101883651
"West Virginia",1,428,NA,NA,"24181","South",0.041354782680617,NA
"Louisiana",NA,NA,1,86,"48523","South",NA,0.0206087834635121
"South Carolina",NA,NA,1,86,"31055","South",NA,0.032200933827081
